epoch,accuracy,loss,val_accuracy,val_loss
0,0.43484067916870117,1.9389811754226685,0.31711506843566895,1.5630898475646973
1,0.4272085428237915,1.3759058713912964,0.44705209136009216,1.2629456520080566
2,0.43980157375335693,1.2839539051055908,0.44705209136009216,1.26270592212677
3,0.44533485174179077,1.283695936203003,0.31711506843566895,1.2785813808441162
4,0.4430452287197113,1.2829922437667847,0.44705209136009216,1.2632702589035034
5,0.43980157375335693,1.285831093788147,0.44705209136009216,1.2675342559814453
6,0.44323602318763733,1.2830976247787476,0.44705209136009216,1.263358473777771
0,0.4413279891014099,2.565061569213867,0.44705209136009216,1.2753797769546509
1,0.4455256760120392,1.2840943336486816,0.44705209136009216,1.2652982473373413
2,0.44705209136009216,1.2829424142837524,0.44705209136009216,1.266974925994873
3,0.44705209136009216,1.2816053628921509,0.44705209136009216,1.261523962020874
4,0.44590726494789124,1.286588430404663,0.44705209136009216,1.3080132007598877
5,0.4464796781539917,1.2844092845916748,0.44705209136009216,1.263358235359192
