epoch,accuracy,loss,val_accuracy,val_loss
0,0.42224764823913574,1.4964300394058228,0.44705209136009216,1.2691611051559448
1,0.4419004023075104,1.2938976287841797,0.4396107494831085,1.2748301029205322
2,0.44151878356933594,1.285792350769043,0.4481969177722931,1.276655912399292
3,0.4481969177722931,1.2813830375671387,0.44705209136009216,1.2642810344696045
4,0.44590726494789124,1.2798916101455688,0.4476245045661926,1.2688319683074951
5,0.44438084959983826,1.2841925621032715,0.4481969177722931,1.2695683240890503
6,0.44705209136009216,1.2817670106887817,0.4464796781539917,1.296852946281433
7,0.4462888836860657,1.2788821458816528,0.44876933097839355,1.2774572372436523
8,0.4489601254463196,1.2762268781661987,0.44934171438217163,1.2807974815368652
9,0.45411181449890137,1.2717422246932983,0.4247280955314636,1.292912483215332
10,0.4550658166408539,1.265659213066101,0.44533485174179077,1.3205077648162842
11,0.4588818848133087,1.262423038482666,0.44361764192581177,1.2780309915542603
12,0.4552566409111023,1.2680935859680176,0.4378935396671295,1.3418956995010376
13,0.46517840027809143,1.248252034187317,0.45048654079437256,1.2987821102142334
14,0.46613243222236633,1.241105079650879,0.4464796781539917,1.355398416519165
